# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = C:\Users\zhixi\Documents\gitRepositories\sueAnalysis\stanModels\eightschools\fittingData\Fnc91Wn2HXaKFMivT6k8QL-data.R
# init = 2 (Default)
# random
#   seed = 208526
# output
#   file = Fnc91Wn2HXaKFMivT6k8QL-output-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,tau
# Adaptation terminated
# Step size = 0.198263
# Diagonal elements of inverse mass matrix:
# 18.675, 44.6284, 22.213, 43.795, 29.1756, 46.0096, 33.8687, 30.1286, 31.1569, 0.495303
-16.4403,0.98395,0.198263,4,15,0,20.3137,6.39686,7.55604,3.70483,4.74644,8.02392,12.2932,10.1268,6.26198,9.80468,2.20679
-15.1044,1,0.198263,3,7,0,18.4398,7.24201,9.57107,11.529,10.6469,8.4369,3.08647,3.31385,12.6002,6.10818,2.78241
-16.1817,0.941214,0.198263,4,15,0,19.1128,7.77754,9.34809,9.26978,3.84276,10.8575,13.8652,11.0164,6.69046,12.4299,3.99449
-12.4809,0.963268,0.198263,4,31,0,18.8556,6.44064,7.49473,3.98523,8.20711,7.82604,4.54176,1.05863,7.00137,4.39473,2.58001
-10.5268,0.957514,0.198263,3,7,0,13.819,6.09205,4.61526,7.37864,1.76074,5.264,5.42154,5.57089,6.44458,5.09106,2.26344
-9.633,0.971899,0.198263,3,7,0,12.9831,6.59939,6.86327,5.29539,8.35719,4.76173,4.23854,4.57828,7.03861,5.24199,2.08647
-12.5568,0.871207,0.198263,3,7,0,13.9793,4.20539,6.28464,7.56538,6.61197,4.68623,6.12565,1.98763,6.03844,7.5838,3.07359
-13.6542,0.989337,0.198263,3,7,0,15.3023,6.41412,3.04247,5.38664,5.24126,3.58695,3.02212,4.84347,10.427,2.46833,3.34967
-10.4349,0.893397,0.198263,3,7,0,14.234,5.59348,6.78245,4.8124,3.1342,3.10702,3.33203,3.56082,5.0838,4.92053,2.36784
-11.5912,0.852545,0.198263,2,3,0,14.5045,4.36212,9.65007,4.57538,2.42309,2.97409,3.89971,2.87571,4.16573,5.92838,2.27716
-11.6545,0.920454,0.198263,2,7,0,14.2881,4.15465,7.0346,5.47926,3.84693,2.71376,1.19491,1.1211,4.926,6.20964,2.90864
-10.3501,0.865711,0.198263,3,7,0,13.9021,5.18281,2.26173,5.54922,4.83296,5.05664,6.17264,6.74171,4.95551,2.38348,1.53552
-10.0085,0.127192,0.198263,3,15,0,14.6041,5.40808,8.16174,6.50203,4.15602,7.17708,3.49247,4.63535,4.39215,7.78432,1.96271
-9.58006,0.550518,0.198263,4,23,0,13.4173,6.62171,5.97318,7.70908,6.82089,7.13534,7.59834,5.58353,3.63446,8.7231,1.72735
-10.1004,0.913606,0.198263,2,3,0,12.0945,6.47083,6.31914,7.18318,4.64845,5.8038,8.56607,6.35544,3.74174,8.31317,1.91385
-8.44963,0.369391,0.198263,4,23,0,12.6246,8.25531,9.22355,8.37215,9.03513,9.26455,8.57519,8.53521,11.7065,7.23858,1.49327
-9.67061,0.124516,0.198263,3,7,0,15.7325,8.21679,11.4552,7.47022,8.57326,10.9282,8.74255,7.5646,8.96356,8.03674,1.34934
-8.59759,0.0930894,0.198263,3,7,0,14.3915,8.705,11.6769,8.19186,9.74753,10.0871,9.6045,8.7026,7.78272,9.27819,1.19554
-8.59759,0.0923564,0.198263,1,3,0,11.5834,8.705,11.6769,8.19186,9.74753,10.0871,9.6045,8.7026,7.78272,9.27819,1.19554
