# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = C:\Users\zhixi\Documents\gitRepositories\sueAnalysis\stanModels\eightschools\fittingData\HnfTwLsVQZ8j4HU8iZsgYl-data.R
# init = 2 (Default)
# random
#   seed = 209564
# output
#   file = HnfTwLsVQZ8j4HU8iZsgYl-output-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,tau
# Adaptation terminated
# Step size = 0.077167
# Diagonal elements of inverse mass matrix:
# 28.9496, 59.6314, 29.7453, 53.034, 41.6217, 42.4193, 64.3772, 42.6717, 47.4668, 0.809524
-16.8551,0.995265,0.077167,5,31,0,23.0866,1.98853,10.8743,6.20101,2.90868,6.41603,-0.20647,-2.34591,2.09015,7.54301,4.4848
-19.8738,0.95936,0.077167,4,23,0,22.4164,3.74624,12.4989,5.2311,-0.236082,5.93441,-4.0542,-4.09483,2.17589,6.56272,11.1619
-17.5262,0.996267,0.077167,5,63,0,25.4209,6.26972,12.6969,6.63306,1.87296,6.98774,1.81416,6.91426,13.631,-4.47149,7.20619
-19.1957,0.973206,0.077167,5,31,0,23.6058,6.45935,11.9777,6.15356,1.16621,5.12879,4.23017,9.69296,10.8798,-1.27984,11.2448
-16.3363,0.99808,0.077167,4,31,0,20.389,4.12449,8.50561,7.47303,1.07798,7.79267,1.18761,9.6703,11.0346,-0.590067,5.52919
-15.6389,0.977705,0.077167,5,47,0,21.3917,6.43095,6.63494,3.2178,6.74722,4.80199,4.98181,2.69429,3.09417,12.9037,5.06629
-14.2725,0.99858,0.077167,4,15,0,21.6532,1.8235,1.52034,3.85075,3.85898,1.89163,-0.748495,3.62452,5.40875,-0.957758,1.51683
-11.9006,0.996419,0.077167,4,15,0,16.0518,1.91102,2.23922,0.691403,0.785912,2.2569,4.35938,0.519884,-0.359225,4.69129,1.51479
-13.6227,0.952963,0.077167,5,63,0,18.6533,7.71105,5.67642,9.64736,5.90403,6.72599,8.4195,3.25223,13.6357,6.12892,3.49546
-13.251,0.995984,0.077167,5,63,0,17.5206,3.78787,1.89172,6.44055,6.3686,5.7432,2.84275,-0.0530998,5.88388,0.518759,2.65083
-9.72366,0.997234,0.077167,4,15,0,15.9411,4.43865,2.55101,4.89631,4.14898,2.99179,4.54514,7.14602,4.79139,6.09283,1.94952
-12.0703,0.952252,0.077167,4,15,0,14.9276,4.81369,0.822425,5.90517,5.78791,2.30073,5.43965,5.80369,3.3208,4.40116,1.66501
-8.99471,0.997759,0.077167,3,7,0,14.414,3.36326,5.20138,4.93447,1.77586,3.29672,5.51356,3.39904,4.83906,3.33871,1.77423
-8.37652,0.986347,0.077167,4,31,0,12.1993,5.47385,5.47722,4.44536,8.55268,6.46732,4.9318,6.3857,6.51003,5.56725,1.3643
-7.89527,1,0.077167,3,7,0,10.1184,6.201,5.31176,3.91671,6.99038,4.67041,5.28157,5.16867,7.2491,5.7143,1.43612
-8.48295,0.982553,0.077167,4,15,0,12.1412,5.33284,5.93496,7.49999,4.11971,6.93412,5.8898,4.90783,4.81129,6.11225,1.93645
-10.6934,0.923243,0.077167,4,15,0,13.5307,3.64536,3.17419,5.87238,5.9829,5.35332,4.12595,4.25578,4.15658,5.57618,2.52311
-10.1412,0.991884,0.077167,4,15,0,13.7557,5.34434,3.16555,6.07932,3.57497,7.90413,5.38751,5.77136,6.23391,4.32178,2.35955
-9.23651,0.992025,0.077167,4,15,0,13.9282,6.00369,9.2159,4.16785,7.11892,4.6844,5.79731,6.74709,6.45761,7.31046,1.6047
-11.6638,0.883098,0.077167,3,15,0,14.1519,6.53369,6.39811,6.01147,6.94849,7.67228,5.12802,4.99967,7.78629,2.42076,3.27568
-14.4712,0.992905,0.077167,4,15,0,15.6739,5.55649,7.60721,7.7444,8.15472,8.84794,6.89218,3.59888,4.25309,-0.0308303,2.44197
-13.0311,0.992375,0.077167,5,31,0,21.2605,7.9907,9.28011,7.54522,7.08111,5.36419,6.57491,10.3156,10.4187,13.7965,3.43525
-12.336,0.975035,0.077167,4,15,0,18.5878,6.86455,7.66552,7.05314,9.959,6.83619,10.8925,7.76538,8.08276,6.13191,1.47031
-13.8503,1,0.077167,5,63,0,17.1408,13.4148,14.6672,12.6352,15.6524,10.1414,14.9922,11.1743,13.8917,9.5458,3.5948
-10.1053,0.994816,0.077167,4,15,0,18.5194,11.3782,10.2512,12.4872,8.80959,12.3673,8.48394,11.632,10.97,12.6122,1.35043
-12.6409,0.926092,0.077167,4,15,0,18.0701,11.5531,12.3618,8.22889,13.6827,8.16228,13.3406,10.486,11.6041,9.16277,2.88872
-11.3328,0.998857,0.077167,4,31,0,15.2789,9.90669,9.46793,12.4262,11.5014,8.63647,7.36141,7.70596,8.47589,12.9671,2.24387
-9.33641,0.972467,0.077167,3,15,0,15.7696,10.5837,8.74075,8.80846,11.9698,11.1455,9.90827,9.38066,9.94843,13.0412,1.64522
-10.2851,0.994551,0.077167,4,15,0,13.3572,7.97607,11.2105,9.82812,5.63471,7.51443,7.29296,8.15387,8.85221,5.29102,1.92341
-7.27281,0.993392,0.077167,4,15,0,13.0019,10.0091,8.4827,8.43475,10.8051,10.7535,10.767,9.68215,10.0737,11.4374,1.36236
-6.40922,0.913885,0.077167,4,23,0,10.6651,7.20594,5.18023,7.96037,7.89995,7.11148,7.77664,7.6692,6.90201,8.42208,0.913815
-4.3887,0.941469,0.077167,3,7,0,9.5192,7.56433,7.56257,7.80506,8.68659,6.93089,6.72717,6.23174,8.24184,7.30589,0.917705
-4.66843,0.510359,0.077167,3,15,0,8.36902,7.5628,7.09814,9.27943,8.31453,7.69641,6.74543,7.38479,8.26711,7.94579,0.813382
-5.19976,0.607279,0.077167,3,7,0,13.9043,7.50024,8.6626,7.6313,7.3871,8.9275,7.85544,7.58913,6.61449,8.23233,0.642055
-5.19976,0.00695417,0.077167,3,7,0,13.2186,7.50024,8.6626,7.6313,7.3871,8.9275,7.85544,7.58913,6.61449,8.23233,0.642055
