# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = C:\Users\zhixi\Documents\gitRepositories\sueAnalysis\stanModels\fittingData\j8dejk49kYZBbBMiwzoSr-data.R
# init = 2 (Default)
# random
#   seed = 208713
# output
#   file = j8dejk49kYZBbBMiwzoSr-output-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,tau
# Adaptation terminated
# Step size = 0.123963
# Diagonal elements of inverse mass matrix:
# 25.0008, 74.4975, 41.0235, 84.9072, 39.9757, 34.324, 41.2915, 48.0978, 72.7414, 0.62466
-6.02197,0.326786,0.123963,2,3,0,9.88081,10.7984,10.3629,10.8252,9.3139,11.0551,10.8428,10.6371,9.53163,12.1795,1.18234
-6.1326,0.326805,0.123963,5,33,1,9.49331,8.46328,9.56965,8.74382,7.2611,8.38256,7.75464,8.34541,10.3586,8.08189,1.4027
-6.20802,0.598503,0.123963,2,7,0,9.8327,7.95677,9.5492,6.74018,8.66174,8.41405,7.13838,7.27816,7.33054,6.6721,1.17217
-7.28311,0.252811,0.123963,4,31,0,8.79185,6.49473,4.72042,7.30477,5.50759,6.44431,6.74175,8.00974,6.88737,8.11491,1.20374
-9.38042,0.815267,0.123963,5,43,0,14.2245,10.4709,13.8429,9.56242,10.6838,10.4985,9.84274,8.8247,11.4114,8.42375,1.85233
-10.3668,0.864882,0.123963,3,7,0,12.9825,9.38072,7.80918,9.57202,9.58783,12.245,10.2972,9.70569,8.62829,12.1077,1.35745
-7.85522,0.988495,0.123963,3,7,0,11.9177,10.333,11.9358,10.2255,10.864,8.59978,9.51859,10.515,12.0958,8.64838,1.19793
-7.85522,1.51455e-007,0.123963,5,31,0,16.7432,10.333,11.9358,10.2255,10.864,8.59978,9.51859,10.515,12.0958,8.64838,1.19793
-10.1289,0.151198,0.123963,3,15,0,13.7232,9.41575,7.7541,8.95045,8.51922,9.44753,10.4492,9.55751,7.79748,11.457,2.47588
-7.06298,0.54388,0.123963,3,15,0,12.8575,9.86128,11.7547,10.3226,10.4381,8.69058,10.4743,11.0648,10.4797,9.05814,1.43563
-7.04662,0.167221,0.123963,5,31,0,9.2449,10.5821,9.83106,9.54284,8.31213,10.6491,11.6143,10.8808,10.517,10.1805,1.34822
-7.07368,0.837621,0.123963,3,15,0,10.405,9.72395,9.51781,8.77647,10.8534,11.4413,11.2108,8.82759,9.99659,9.96036,1.33572
-5.62413,0.756991,0.123963,2,7,0,9.61742,10.4881,11.3447,8.72104,9.58657,10.6348,10.7838,10.117,10.3447,11.0011,1.22252
-14.7484,0.220507,0.123963,4,31,0,17.4716,14.1071,13.2495,14.4415,12.2498,14.4208,10.9896,16.926,18.5244,10.1644,3.93484
-16.3768,0.958316,0.123963,4,15,0,18.985,13.5057,19.2652,12.0821,10.261,16.8961,16.44,14.9159,18.645,13.0851,4.12644
-18.2487,0.960385,0.123963,4,15,0,22.9425,15.9146,18.3012,16.9129,15.89,11.4239,7.98138,11.4698,9.89383,20.5145,3.56107
-20.8174,0.957244,0.123963,4,15,0,24.5788,12.6449,18.2728,19.703,4.12909,7.64796,16.7999,15.2957,22.5512,8.93585,7.48498
-17.5528,0.964838,0.123963,5,31,0,27.3012,13.9786,17.6436,20.6062,9.82592,9.8847,15.2114,8.71209,10.0183,14.6763,4.03313
-23.8143,0.860912,0.123963,3,7,0,27.7881,13.3049,17.7437,24.7904,8.29481,10.3721,13.7339,10.3043,11.752,15.5474,2.81879
-21.7229,1,0.123963,4,15,0,28.3216,12.6316,6.57853,-1.7808,17.4031,18.1793,9.8386,2.33785,19.028,14.828,8.49109
-20.3291,0.996221,0.123963,5,31,0,26.2402,10.7477,8.44187,0.0667372,14.7732,18.6093,7.0486,2.24898,20.1887,13.3576,8.24856
-20.055,0.992807,0.123963,5,31,0,24.3712,11.6314,14.359,19.9813,3.87061,3.24675,5.75316,6.07804,9.91182,3.68588,5.07769
-23.3214,0.996267,0.123963,5,31,0,28.6451,7.77871,8.03904,-8.49408,7.16429,7.82744,-6.70042,2.15769,16.6897,22.15,8.43119
-25.5307,0.961611,0.123963,5,31,0,29.41,-3.63863,13.185,-9.09405,6.87539,7.88752,2.75797,2.18353,21.6546,19.1393,19.5311
-28.8023,0.990215,0.123963,5,31,0,30.9189,-4.96152,7.69282,-15.2092,1.64417,10.9426,6.23311,-4.89906,21.2253,23.6003,25.5428
-28.564,0.99975,0.123963,5,31,0,34.5882,-4.40173,7.54301,-16.0511,0.383399,11.9704,5.19305,-3.43633,20.3071,23.2081,24.4507
-21.4361,0.999609,0.123963,5,31,0,30.6291,6.38113,7.17491,11.7025,-8.83038,-2.4201,-6.70173,-3.49514,7.95558,8.18927,9.72469
-24.3572,0.99319,0.123963,5,31,0,28.4396,4.21768,28.9665,7.19239,26.2302,5.92758,2.8019,-6.79818,11.3412,0.258729,15.6417
-22.7678,0.998383,0.123963,5,31,0,28.0206,9.94625,15.5075,0.448244,-0.0371312,-0.888862,5.09485,3.77146,28.8874,-3.37557,11.9572
-24.329,0.985952,0.123963,5,31,0,31.1729,10.1756,14.8136,-1.44841,5.82561,-2.41127,6.8788,3.88205,32.3603,-2.49598,10.3303
-28.9356,0.935233,0.123963,5,31,0,33.1759,9.70128,12.8481,13.0505,0.901839,30.0921,1.52845,5.7601,-7.24658,22.457,21.3521
-23.8418,0.993227,0.123963,5,63,0,32.1162,-1.32294,13.2099,2.21764,5.45315,-4.98691,6.25875,7.0351,16.5396,-8.74718,17.4531
-21.9459,0.999459,0.123963,5,31,0,28.6598,8.06411,0.372974,7.5732,-8.85031,-0.715028,1.01592,6.59215,2.84679,11.6354,9.66842
-28.8269,0.929765,0.123963,5,31,0,31.6704,-1.38894,27.6468,2.29014,25.394,12.2351,-4.62507,-8.47801,18.6152,-18.4497,13.537
-28.7703,0.999796,0.123963,6,63,0,36.5956,16.0135,7.06682,12.0376,-21.4364,-5.07745,6.35332,12.0303,7.38937,30.0759,13.6234
-25.8586,0.99918,0.123963,5,31,0,34.6014,16.8451,36.4894,6.7893,-17.9051,3.47566,8.00201,-7.92166,20.1402,7.25506,18.5645
-25.8347,0.994758,0.123963,5,31,0,28.4365,17.1683,35.5832,6.459,-18.9658,7.07034,8.24323,-4.84625,21.6184,7.65655,15.6338
-25.9528,0.996499,0.123963,5,63,0,29.9993,0.514739,26.2276,19.4875,21.0873,1.60703,-10.1901,5.62598,9.02148,13.7077,17.2729
-28.412,0.998049,0.123963,5,63,0,33.9558,24.4334,6.31543,15.5065,5.46038,-4.60446,-6.19078,6.30266,14.2345,23.8342,32.8049
-27.9011,0.98464,0.123963,5,63,0,34.9363,25.8517,8.15052,18.5512,4.05231,-4.24599,-6.58973,8.02247,11.6208,22.0656,22.7083
-25.2675,0.983804,0.123963,5,31,0,33.3837,16.223,21.5358,16.7635,10.1414,13.1244,20.7578,24.2756,21.8305,28.7906,4.76806
-23.6892,0.999801,0.123963,5,31,0,31.4229,21.7388,25.5262,16.5374,14.8721,14.5695,13.1824,26.4853,23.4979,6.12647,8.09084
-25.116,0.956958,0.123963,5,31,0,33.027,7.89403,24.4998,12.6394,17.0476,8.90016,-0.775244,-3.34435,37.0172,5.60411,12.8203
-22.1933,0.999726,0.123963,5,31,0,27.707,12.4774,18.8365,11.6148,-11.4999,19.2289,6.91187,-1.27726,18.9693,12.8506,9.87416
-24.297,0.983552,0.123963,5,31,0,26.5994,14.6272,8.95655,7.64725,-4.09025,18.1909,3.70611,-10.1266,20.0697,4.83401,17.8826
-22.8914,0.993583,0.123963,4,31,0,25.7251,11.5606,12.9351,6.49112,-4.07627,16.8648,4.63606,-8.52862,19.6943,1.82552,16.1629
-20.7267,0.998856,0.123963,5,31,0,27.3163,2.02407,10.0467,10.9013,10.5686,-3.84946,6.87079,7.26551,6.9399,11.9786,8.79682
-13.9111,0.985063,0.123963,4,15,0,24.1109,7.74085,8.09983,8.52031,3.63429,7.4093,3.10053,2.51545,12.0311,7.47667,4.48742
-22.6948,0.914572,0.123963,4,15,0,24.1806,10.4119,-3.69097,10.5069,7.55453,-0.745657,3.21914,5.4419,22.1364,12.3038,13.3774
-21.0324,0.998316,0.123963,5,31,0,26.9909,7.02057,12.0212,3.44139,5.93949,1.50621,1.01341,-1.65938,23.511,13.5307,5.65418
-18.0909,0.997539,0.123963,4,31,0,23.662,7.76852,6.8059,7.08551,12.4304,-0.344359,3.36613,11.1385,5.52489,11.1196,7.11608
-20.0855,0.999778,0.123963,5,47,0,22.3149,12.4413,10.5402,14.6246,15.2789,13.9365,19.0072,0.425851,17.5875,12.439,5.13508
-13.0659,0.993624,0.123963,4,15,0,23.179,11.8301,14.2509,13.9767,9.22489,11.1506,5.50743,10.9251,14.1456,13.31,3.12815
-16.1447,0.819795,0.123963,3,7,0,23.9409,12.3515,11.5316,18.3817,10.1533,9.87767,6.85345,15.5465,13.2142,15.0166,2.85596
-23.2246,0.76966,0.123963,6,63,0,29.6972,9.53993,5.20457,16.1339,2.47347,-0.803624,-8.43751,11.9112,1.99688,4.85107,9.69718
-27.073,0.995233,0.123963,5,31,0,31.571,10.0346,16.2414,19.2578,-15.755,-3.54821,-11.8032,1.89731,15.141,-12.6637,21.06
-27.2287,0.99423,0.123963,6,63,0,34.3619,12.2289,17.4673,-0.597697,30.2525,21.7339,8.75195,14.3699,10.5078,32.7739,14.9766
-30.515,0.994066,0.123963,5,31,0,33.3893,18.8342,24.9774,1.51876,44.317,21.8234,7.88354,14.0386,10.2003,37.2986,17.0084
-21.7333,0.999164,0.123963,5,31,0,33.057,18.2976,28.2344,21.5557,6.42986,21.9107,8.11468,6.69619,20.6664,20.8841,6.89867
-25.7267,0.994775,0.123963,6,63,0,26.6345,19.3892,35.8157,21.3882,17.4447,29.9753,3.49504,3.38189,20.5526,17.1726,17.3372
-25.0227,0.995169,0.123963,4,31,0,27.1046,18.5603,39.1798,20.7302,19.0998,29.1181,5.79884,7.00596,20.3484,17.2194,9.39962
-20.1264,0.996758,0.123963,5,63,0,28.5304,10.6176,0.688025,2.38314,9.82697,11.09,-1.12009,2.91353,18.4752,11.8406,7.51483
-19.1769,0.995703,0.123963,5,31,0,24.4086,4.63936,13.4101,6.08189,-0.513324,1.02709,8.43533,6.24587,-2.85744,0.444469,6.1425
-16.1768,0.972629,0.123963,5,31,0,24.5393,5.31451,3.11881,3.94246,1.36406,3.55158,6.03192,-2.38705,7.54966,11.1343,4.96075
-22.8093,0.982358,0.123963,4,31,0,24.9189,3.29355,8.0712,6.11571,12.4534,0.791358,9.068,-14.3292,2.91905,9.7827,9.30073
-23.0278,0.999752,0.123963,5,31,0,26.3024,4.49136,2.11829,9.83094,6.71007,-2.52838,13.0247,-12.4987,5.45817,6.42242,8.82946
-20.8894,0.999614,0.123963,5,31,0,25.7285,10.3582,17.0097,6.12869,1.75449,12.2298,-6.19741,19.9995,15.0857,7.93404,8.09761
-27.6482,0.984414,0.123963,5,31,0,30.2978,10.2358,4.38464,29.188,-12.806,4.64649,2.75434,18.4231,21.7051,26.2611,15.3282
-21.421,0.99935,0.123963,5,31,0,31.3389,12.7526,7.71013,2.82713,5.00909,16.5903,1.6339,8.27126,11.378,28.1909,8.852
-19.1795,0.993588,0.123963,5,31,0,25.5696,9.62911,10.6664,9.84812,6.12473,1.1328,15.796,6.9465,11.1803,20.1403,5.46943
-14.4294,0.99174,0.123963,3,15,0,21.503,12.95,14.6567,11.5015,6.36281,9.70959,10.9966,9.33854,14.8628,14.783,4.4398
-11.7746,0.992747,0.123963,4,15,0,16.8493,13.2531,13.4558,12.5376,14.6132,12.9586,10.4357,13.5903,11.2252,9.47995,1.68108
